feature,importance
fe_rollingMean_window_6_S_25,4.360543875220335e-05
fe_group_last_key_ID_D_50,4.3235217706272255e-05
fe_recentDiff_interval_2_S_25,4.313830594410151e-05
fe_group_max_key_ID_S_5,4.269147823249275e-05
fe_group_last_key_ID_D_120,4.266998596563765e-05
fe_recentDiff_interval_2_B_20,4.2635995990025766e-05
fe_group_min_key_ID_S_11,4.255527545471427e-05
fe_group_min_key_ID_D_133,4.249573395748163e-05
fe_group_last_key_ID_B_14,4.242285703354165e-05
fe_group_mean_key_ID_D_129,4.226115644523354e-05
fe_group_min_key_ID_D_46,4.1868075784934344e-05
fe_rollingMean_window_6_D_129,4.126952428323838e-05
fe_rollingMean_window_6_B_23,4.110665267387237e-05
fe_group_min_key_ID_R_1,4.108517372602982e-05
fe_recentDiff_interval_2_D_48,4.086509426259877e-05
fe_group_last_key_ID_D_62,4.083917461450426e-05
fe_recentDiff_interval_1_B_23,4.067467316420936e-05
fe_group_max_key_ID_R_13,4.067301490207065e-05
fe_group_max_key_ID_D_121,4.0388670050073294e-05
fe_group_mean_key_ID_S_8,4.0332649545282706e-05
fe_freq_enc_fe_group_max_key_ID_R_11,3.984170203669146e-05
fe_group_max_key_ID_R_16,3.98335328420929e-05
fe_rollingMean_window_6_B_10,3.979229495665315e-05
fe_rollingMean_window_6_B_20,3.9727279285250994e-05
fe_group_max_key_ID_B_16,3.963405350743132e-05
fe_group_min_key_ID_B_40,3.94933038013745e-05
fe_recentDiff_interval_2_B_11,3.94485397742228e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_B_16,3.9399200390866085e-05
fe_group_max_key_ID_D_46,3.883903078855111e-05
fe_group_min_key_ID_B_33,3.823562305926842e-05
fe_group_mean_key_ID_D_47,3.812342556208659e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_D_117,3.778508216556453e-05
fe_rollingMean_window_6_D_58,3.7703017992052335e-05
fe_rollingMean_window_6_D_50,3.754555020618611e-05
fe_group_mean_key_ID_B_6,3.711698647840267e-05
fe_recentDiff_interval_2_B_4,3.70040147905093e-05
fe_rollingMean_window_6_B_17,3.6731849253512916e-05
fe_group_max_key_ID_R_5,3.661323519027482e-05
fe_freq_enc_fe_group_max_key_ID_R_26,3.646355850983607e-05
fe_group_max_key_ID_D_74,3.639662286425427e-05
fe_group_max_key_ID_S_8,3.6389000065306654e-05
fe_group_mean_key_ID_B_16,3.5692380689900105e-05
fe_rollingMean_window_6_B_5,3.5685200247881355e-05
fe_group_max_key_ID_D_47,3.52937548837029e-05
fe_rollingMean_window_6_D_106,3.493349929661882e-05
fe_recentDiff_interval_1_D_50,3.492736153892784e-05
fe_group_last_key_ID_S_24,3.446993992062275e-05
fe_rollingMean_window_6_R_16,3.352029836284354e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_D_70,3.3363378064810156e-05
fe_group_min_key_ID_D_55,3.3348462360638376e-05
fe_group_max_key_ID_R_2,3.332369681025016e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_B_16,3.327825026433473e-05
fe_group_mean_key_ID_P_4,3.299148835966825e-05
fe_rollingMean_window_6_D_84,3.2716756338535546e-05
fe_group_max_key_ID_D_78,3.230143711285827e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_R_3,3.211140820125191e-05
fe_group_mean_key_ID_S_22,3.202029825022379e-05
fe_group_max_key_ID_R_15,3.1431077323285095e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_R_13,3.142478779977198e-05
fe_group_last_key_ID_D_59,3.085428837756865e-05
fe_nullCount_D_56,3.0746342517262715e-05
fe_recentDiff_interval_1_S_23,3.0721051501758634e-05
fe_group_last_key_ID_D_72,3.069769891633767e-05
fe_group_last_key_ID_D_70,3.061327377457124e-05
fe_nullCount_B_17,3.055979798721742e-05
fe_freq_enc_fe_group_max_key_ID_R_21,3.0550783568450424e-05
fe_group_max_key_ID_D_79,2.9893332108787973e-05
fe_group_min_key_ID_B_16,2.960428777909474e-05
fe_recentDiff_interval_1_B_20,2.9573642855384996e-05
fe_group_min_key_ID_S_9,2.9507351361923728e-05
fe_group_mean_key_ID_S_11,2.9454372803605633e-05
fe_group_last_key_ID_S_15,2.9354851195151355e-05
fe_tar_enc_smoothing_fe_group_min_key_ID_D_129,2.924770280771094e-05
fe_group_min_key_ID_D_132,2.9122540158355026e-05
fe_group_max_key_ID_B_7,2.893573426182572e-05
fe_group_max_key_ID_P_3,2.892978522128775e-05
fe_recentDiff_interval_2_B_37,2.8890868147835036e-05
fe_group_max_key_ID_D_53,2.8870839864525433e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_D_51,2.8825874937188356e-05
fe_rollingMean_window_6_B_22,2.870318672371086e-05
fe_recentDiff_interval_1_R_2,2.8623727908849705e-05
fe_group_min_key_ID_B_11,2.8593665481690955e-05
fe_group_last_key_ID_D_142,2.8421569590098006e-05
fe_recentDiff_interval_1_R_1,2.8393389422065596e-05
fe_freq_enc_fe_group_max_key_ID_R_15,2.82851844635168e-05
fe_group_max_key_ID_D_81,2.8171530185194804e-05
fe_group_mean_key_ID_S_16,2.80962845561894e-05
fe_freq_enc_fe_group_last_key_ID_S_15,2.7836806981651474e-05
fe_freq_enc_fe_group_max_key_ID_R_2,2.7809255011113088e-05
fe_group_max_key_ID_D_50,2.7695254848802975e-05
fe_freq_enc_fe_group_last_key_ID_D_120,2.7475580107960695e-05
fe_freq_enc_fe_group_max_key_ID_D_74,2.7424317733393266e-05
fe_group_min_key_ID_D_54,2.7224524604352318e-05
fe_group_mean_key_ID_S_9,2.7195171268812324e-05
fe_recentDiff_interval_2_R_10,2.7087623421018225e-05
fe_group_min_key_ID_B_1,2.692628717482215e-05
fe_group_max_key_ID_D_89,2.691665397464016e-05
fe_group_max_key_ID_D_84,2.6844929423286423e-05
fe_rollingMean_window_6_D_112,2.6597093594205035e-05
fe_tar_enc_smoothing_fe_group_min_key_ID_D_70,2.6118229221328004e-05
fe_freq_enc_fe_group_min_key_ID_B_33,2.6074579192403302e-05
fe_group_last_key_ID_S_13,2.5866101404647956e-05
fe_freq_enc_fe_group_last_key_ID_D_129,2.585395933807355e-05
fe_recentDiff_interval_1_D_78,2.583876014561337e-05
fe_rollingMean_window_6_R_10,2.5624530917423005e-05
fe_freq_enc_fe_group_last_key_ID_R_4,2.5592222332559977e-05
fe_freq_enc_fe_group_max_key_ID_R_16,2.5532203328793024e-05
fe_group_max_key_ID_D_56,2.5136368276612586e-05
fe_group_mean_key_ID_B_20,2.5091980067948327e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_B_30,2.46621984116846e-05
fe_rollingMean_window_6_D_72,2.4479861242765466e-05
fe_group_max_key_ID_D_75,2.431904478567004e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_D_91,2.4123953271060206e-05
fe_group_min_key_ID_R_3,2.4017372937779058e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_R_8,2.385761161410871e-05
fe_group_last_key_ID_D_114,2.375086996714293e-05
fe_group_last_key_ID_S_5,2.3650378410289274e-05
fe_group_last_key_ID_D_132,2.3595452865010635e-05
fe_rollingMean_window_6_S_22,2.359166979143401e-05
fe_group_last_key_ID_D_56,2.3490348070864808e-05
fe_group_min_key_ID_B_37,2.3013181918274395e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_D_74,2.293863362717863e-05
fe_recentDiff_interval_1_S_3,2.267563241581394e-05
fe_group_last_key_ID_D_121,2.266268738748689e-05
fe_group_min_key_ID_B_23,2.2646153732597263e-05
fe_freq_enc_fe_group_max_key_ID_R_8,2.2533179366179823e-05
fe_group_mean_key_ID_D_132,2.2313606607093917e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_D_106,2.2272440469983668e-05
fe_freq_enc_fe_group_max_key_ID_S_15,2.191742534296548e-05
fe_group_last_key_ID_B_22,2.1855583596575023e-05
fe_recentDiff_interval_1_B_28,2.1798820940166497e-05
fe_recentDiff_interval_2_B_17,2.174992731007741e-05
fe_recentDiff_interval_2_D_56,2.14688054193668e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_D_81,2.1415219272680197e-05
fe_group_mean_key_ID_S_5,2.1367060495491863e-05
fe_group_mean_key_ID_B_33,2.1332628167669565e-05
fe_freq_enc_fe_group_max_key_ID_R_10,2.1272378345926768e-05
